Period (s),PositionError (mm)
0.281600,0.000110
0.282112,0.000110
0.282624,0.000110
0.283136,0.000110
0.283648,0.000115
0.284160,0.000110
0.284672,0.000110
0.285184,0.000115
0.285696,0.000115
0.286208,0.000110
0.286720,0.000110
0.287232,0.000110
0.287744,0.000110
0.288256,0.000105
0.288768,0.000100
0.289280,0.000090
0.289792,0.000090
0.290304,0.000085
0.290816,0.000085
0.291328,0.000085
0.291840,0.000080
0.292352,0.000080
0.292864,0.000070
0.293376,0.000060
0.293888,0.000060
0.294400,0.000050
0.294912,0.000050
0.295424,0.000050
0.295936,0.000050
0.296448,0.000030
0.296960,0.000025
0.297472,0.000025
0.297984,0.000020
0.298496,0.000015
0.299008,0.000015
0.299520,0.000000
0.300032,-0.000010
0.300544,-0.000015
0.301056,-0.000020
0.301568,-0.000030
0.302080,-0.000035
0.302592,-0.000035
0.303104,-0.000040
0.303616,-0.000040
0.304128,-0.000045
0.304640,-0.000045
0.305152,-0.000040
0.305664,-0.000040
0.306176,-0.000035
0.306688,-0.000035
0.307200,-0.000035
0.307712,-0.000035
0.308224,-0.000035
0.308736,-0.000020
0.309248,-0.000020
0.309760,-0.000020
0.310272,-0.000025
0.310784,-0.000025
0.311296,-0.000020
0.311808,-0.000015
0.312320,-0.000005
0.312832,-0.000005
0.313344,-0.000010
0.313856,-0.000010
0.314368,-0.000005
0.314880,-0.000005
0.315392,0.000000
0.315904,0.000005
0.316416,0.000005
0.316928,0.000010
0.317440,0.000010
0.317952,0.000010
0.318464,0.000010
0.318976,0.000015
0.319488,0.000015
0.320000,0.000015
0.320512,0.000015
0.321024,0.000015
0.321536,0.000015
0.322048,0.000015
0.322560,0.000015
0.323072,0.000010
0.323584,0.000010
0.324096,0.000010
0.324608,0.000010
0.325120,0.000000
0.325632,0.000000
0.326144,0.000000
0.326656,0.000000
0.327168,-0.000005
0.327680,-0.000005
0.328192,-0.000005
0.328704,-0.000010
0.329216,-0.000020
0.329728,-0.000025
0.330240,-0.000025
0.330752,-0.000025
0.331264,-0.000025
0.331776,-0.000030
0.332288,-0.000040
0.332800,-0.000045
0.333312,-0.000045
0.333824,-0.000050
0.334336,-0.000055
0.334848,-0.000065
0.335360,-0.000070
0.335872,-0.000075
0.336384,-0.000075
0.336896,-0.000075
0.337408,-0.000085
0.337920,-0.000090
0.338432,-0.000090
0.338944,-0.000090
0.339456,-0.000095
0.339968,-0.000095
0.340480,-0.000095
0.340992,-0.000095
0.341504,-0.000090
0.342016,-0.000090
0.342528,-0.000090
0.343040,-0.000095
0.343552,-0.000095
0.344064,-0.000090
0.344576,-0.000080
0.345088,-0.000080
0.345600,-0.000075
0.346112,-0.000080
0.346624,-0.000080
0.347136,-0.000075
0.347648,-0.000065
0.348160,-0.000065
0.348672,-0.000060
0.349184,-0.000060
0.349696,-0.000060
0.350208,-0.000055
0.350720,-0.000045
0.351232,-0.000045
0.351744,-0.000045
0.352256,-0.000040
0.352768,-0.000040
0.353280,-0.000035
0.353792,-0.000030
0.354304,-0.000025
0.354816,-0.000020
0.355328,-0.000020
0.355840,-0.000020
0.356352,-0.000020
0.356864,-0.000020
0.357376,-0.000020
0.357888,-0.000020
0.358400,-0.000020
0.358912,-0.000020
0.359424,-0.000020
0.359936,-0.000025
0.360448,-0.000025
0.360960,-0.000025
0.361472,-0.000020
0.361984,-0.000020
0.362496,-0.000025
0.363008,-0.000035
0.363520,-0.000035
0.364032,-0.000035
0.364544,-0.000035
0.365056,-0.000035
0.365568,-0.000040
0.366080,-0.000050
0.366592,-0.000050
0.367104,-0.000050
0.367616,-0.000050
0.368128,-0.000055
0.368640,-0.000055
0.369152,-0.000060
0.369664,-0.000060
0.370176,-0.000060
0.370688,-0.000060
0.371200,-0.000065
0.371712,-0.000065
0.372224,-0.000065
0.372736,-0.000070
0.373248,-0.000070
0.373760,-0.000070
0.374272,-0.000075
0.374784,-0.000075
0.375296,-0.000075
0.375808,-0.000075
0.376320,-0.000075
0.376832,-0.000075
0.377344,-0.000075
0.377856,-0.000070
0.378368,-0.000065
0.378880,-0.000065
0.379392,-0.000065
0.379904,-0.000065
0.380416,-0.000065
0.380928,-0.000060
0.381440,-0.000060
0.381952,-0.000055
0.382464,-0.000055
0.382976,-0.000055
0.383488,-0.000045
0.384000,-0.000040
0.384512,-0.000030
0.385024,-0.000030
0.385536,-0.000030
0.386048,-0.000030
0.386560,-0.000030
0.387072,-0.000020
0.387584,-0.000010
0.388096,-0.000010
0.388608,-0.000010
0.389120,-0.000005
0.389632,-0.000005
0.390144,-0.000005
0.390656,-0.000005
0.391168,0.000000
0.391680,0.000010
