Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000800,0.000155
0.000256,0.000495,0.000315
0.000512,0.000110,0.000435
0.000768,-0.000295,0.000490
0.001024,-0.000650,0.000480
0.001280,-0.000895,0.000390
0.001536,-0.000995,0.000235
0.001792,-0.000930,0.000055
0.002048,-0.000710,-0.000125
0.002304,-0.000370,-0.000285
0.002560,0.000030,-0.000395
0.002816,0.000425,-0.000430
0.003072,0.000750,-0.000395
0.003328,0.000955,-0.000280
0.003584,0.001000,-0.000115
0.003840,0.000885,0.000070
0.004096,0.000625,0.000240
0.004352,0.000260,0.000385
0.004608,-0.000145,0.000465
0.004864,-0.000525,0.000475
0.005120,-0.000820,0.000420
0.005376,-0.000975,0.000290
0.005632,-0.000970,0.000120
0.005888,-0.000805,-0.000055
0.006144,-0.000510,-0.000230
0.006400,-0.000125,-0.000355
0.006656,0.000280,-0.000420
0.006912,0.000640,-0.000420
0.007168,0.000895,-0.000325
0.007424,0.001005,-0.000170
0.007680,0.000945,0.000005
0.007936,0.000735,0.000180
0.008192,0.000405,0.000330
0.008448,0.000010,0.000435
0.008704,-0.000390,0.000475
0.008960,-0.000720,0.000440
0.009216,-0.000935,0.000330
0.009472,-0.000995,0.000165
0.009728,-0.000885,-0.000015
0.009984,-0.000635,-0.000190
0.010240,-0.000275,-0.000330
0.010496,0.000130,-0.000425
0.010752,0.000510,-0.000445
0.011008,0.000815,-0.000390
0.011264,0.000980,-0.000260
0.011520,0.000990,-0.000085
0.011776,0.000835,0.000100
0.012032,0.000540,0.000260
0.012288,0.000160,0.000385
0.012544,-0.000245,0.000440
0.012800,-0.000610,0.000440
0.013056,-0.000870,0.000350
0.013312,-0.000990,0.000210
0.013568,-0.000945,0.000030
0.013824,-0.000745,-0.000155
0.014080,-0.000420,-0.000315
0.014336,-0.000025,-0.000420
0.014592,0.000375,-0.000465
0.014848,0.000715,-0.000445
0.015104,0.000935,-0.000335
0.015360,0.001005,-0.000175
0.015616,0.000910,0.000010
0.015872,0.000665,0.000185
0.016128,0.000310,0.000330
0.016384,-0.000090,0.000415
0.016640,-0.000480,0.000435
0.016896,-0.000785,0.000385
0.017152,-0.000965,0.000260
0.017408,-0.000980,0.000095
0.017664,-0.000840,-0.000090
0.017920,-0.000555,-0.000265
0.018176,-0.000180,-0.000400
0.018432,0.000225,-0.000470
0.018688,0.000595,-0.000480
0.018944,0.000870,-0.000400
0.019200,0.001000,-0.000255
0.019456,0.000965,-0.000070
0.019712,0.000775,0.000110
0.019968,0.000455,0.000270
0.020224,0.000065,0.000385
0.020480,-0.000340,0.000425
0.020736,-0.000685,0.000410
0.020992,-0.000915,0.000305
0.021248,-0.000995,0.000145
0.021504,-0.000910,-0.000025
0.021760,-0.000675,-0.000210
0.022016,-0.000330,-0.000370
0.022272,0.000075,-0.000460
0.022528,0.000465,-0.000490
0.022784,0.000780,-0.000445
0.023040,0.000965,-0.000320
0.023296,0.000995,-0.000145
0.023552,0.000860,0.000040
0.023808,0.000585,0.000215
0.024064,0.000215,0.000350
0.024320,-0.000190,0.000425
0.024576,-0.000565,0.000425
0.024832,-0.000845,0.000365
0.025088,-0.000985,0.000225
0.025344,-0.000960,0.000050
0.025600,-0.000780,-0.000135
0.025856,-0.000470,-0.000305
0.026112,-0.000080,-0.000420
0.026368,0.000325,-0.000470
0.026624,0.000675,-0.000455
0.026880,0.000915,-0.000355
0.027136,0.001005,-0.000205
0.027392,0.000930,-0.000015
