Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,-0.000670,-0.000605
0.000461,-0.000370,-0.000685
0.000922,-0.000025,-0.000680
0.001382,0.000325,-0.000570
0.001843,0.000635,-0.000390
0.002304,0.000865,-0.000160
0.002765,0.000990,0.000080
0.003226,0.000990,0.000320
0.003686,0.000865,0.000525
0.004147,0.000635,0.000670
0.004608,0.000325,0.000725
0.005069,-0.000025,0.000690
0.005530,-0.000375,0.000560
0.005990,-0.000670,0.000360
0.006451,-0.000885,0.000115
0.006912,-0.000990,-0.000150
0.007373,-0.000965,-0.000410
0.007834,-0.000820,-0.000610
0.008294,-0.000575,-0.000745
0.008755,-0.000255,-0.000790
0.009216,0.000100,-0.000745
0.009677,0.000440,-0.000605
0.010138,0.000725,-0.000395
0.010598,0.000925,-0.000150
0.011059,0.001005,0.000110
0.011520,0.000960,0.000350
0.011981,0.000795,0.000545
0.012442,0.000530,0.000670
0.012902,0.000200,0.000690
0.013363,-0.000150,0.000625
0.013824,-0.000485,0.000470
0.014285,-0.000760,0.000255
0.014746,-0.000935,0.000005
0.015206,-0.000995,-0.000260
0.015667,-0.000930,-0.000490
0.016128,-0.000745,-0.000670
0.016589,-0.000465,-0.000770
0.017050,-0.000130,-0.000790
0.017510,0.000225,-0.000695
0.017971,0.000550,-0.000530
0.018432,0.000810,-0.000310
0.018893,0.000965,-0.000055
0.019354,0.001000,0.000210
0.019814,0.000915,0.000440
0.020275,0.000710,0.000615
0.020736,0.000420,0.000710
0.021197,0.000080,0.000705
0.021658,-0.000275,0.000615
0.022118,-0.000590,0.000435
0.022579,-0.000835,0.000210
0.023040,-0.000970,-0.000045
0.023501,-0.000985,-0.000305
0.023962,-0.000875,-0.000520
0.024422,-0.000655,-0.000675
0.024883,-0.000355,-0.000755
0.025344,-0.000005,-0.000730
0.025805,0.000345,-0.000610
0.026266,0.000650,-0.000420
0.026726,0.000875,-0.000180
0.027187,0.000995,0.000075
0.027648,0.000985,0.000330
0.028109,0.000855,0.000545
0.028570,0.000620,0.000690
0.029030,0.000305,0.000760
0.029491,-0.000045,0.000725
0.029952,-0.000390,0.000595
0.030413,-0.000685,0.000395
0.030874,-0.000895,0.000165
0.031334,-0.000990,-0.000090
0.031795,-0.000960,-0.000340
0.032256,-0.000810,-0.000535
0.032717,-0.000555,-0.000655
0.033178,-0.000235,-0.000690
0.033638,0.000120,-0.000645
0.034099,0.000460,-0.000490
0.034560,0.000740,-0.000280
0.035021,0.000930,-0.000040
0.035482,0.001005,0.000220
0.035942,0.000955,0.000450
0.036403,0.000780,0.000640
0.036864,0.000515,0.000755
0.037325,0.000180,0.000775
0.037786,-0.000170,0.000700
0.038246,-0.000505,0.000530
0.038707,-0.000770,0.000315
0.039168,-0.000945,0.000065
0.039629,-0.000995,-0.000190
0.040090,-0.000920,-0.000430
0.040550,-0.000730,-0.000605
0.041011,-0.000450,-0.000705
0.041472,-0.000110,-0.000720
0.041933,0.000245,-0.000635
0.042394,0.000565,-0.000465
0.042854,0.000820,-0.000240
0.043315,0.000970,0.000010
0.043776,0.001000,0.000265
0.044237,0.000905,0.000490
0.044698,0.000700,0.000665
0.045158,0.000405,0.000735
0.045619,0.000060,0.000745
0.046080,-0.000295,0.000625
0.046541,-0.000605,0.000445
0.047002,-0.000845,0.000215
0.047462,-0.000975,-0.000050
0.047923,-0.000985,-0.000310
0.048384,-0.000865,-0.000520
0.048845,-0.000640,-0.000670
0.049306,-0.000335,-0.000745
0.049766,0.000015,-0.000735
0.050227,0.000365,-0.000610
0.050688,0.000665,-0.000420
0.051149,0.000885,-0.000185
0.051610,0.000995,0.000065
0.052070,0.000980,0.000310
0.052531,0.000845,0.000515
0.052992,0.000600,0.000665
0.053453,0.000285,0.000710
0.053914,-0.000065,0.000675
0.054374,-0.000410,0.000545
0.054835,-0.000700,0.000345
0.055296,-0.000905,0.000105
0.055757,-0.000990,-0.000155
0.056218,-0.000955,-0.000395
0.056678,-0.000800,-0.000590
