Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000740,0.000310
0.000307,0.000460,0.000395
0.000614,0.000125,0.000430
0.000922,-0.000230,0.000425
0.001229,-0.000550,0.000355
0.001536,-0.000805,0.000250
0.001843,-0.000960,0.000110
0.002150,-0.000990,-0.000040
0.002458,-0.000900,-0.000175
0.002765,-0.000700,-0.000300
0.003072,-0.000410,-0.000380
0.003379,-0.000070,-0.000405
0.003686,0.000280,-0.000390
0.003994,0.000600,-0.000300
0.004301,0.000840,-0.000185
0.004608,0.000980,-0.000045
0.004915,0.000995,0.000110
0.005222,0.000890,0.000255
0.005530,0.000675,0.000370
0.005837,0.000380,0.000435
0.006144,0.000035,0.000460
0.006451,-0.000315,0.000430
0.006758,-0.000625,0.000350
0.007066,-0.000855,0.000230
0.007373,-0.000980,0.000090
0.007680,-0.000980,-0.000060
0.007987,-0.000860,-0.000200
0.008294,-0.000630,-0.000300
0.008602,-0.000325,-0.000365
0.008909,0.000025,-0.000375
0.009216,0.000370,-0.000345
0.009523,0.000670,-0.000250
0.009830,0.000885,-0.000130
0.010138,0.000995,0.000015
0.010445,0.000980,0.000165
0.010752,0.000845,0.000295
0.011059,0.000605,0.000400
0.011366,0.000290,0.000465
0.011674,-0.000060,0.000470
0.011981,-0.000400,0.000425
0.012288,-0.000690,0.000335
0.012595,-0.000895,0.000210
0.012902,-0.000990,0.000065
0.013210,-0.000960,-0.000085
0.013517,-0.000810,-0.000215
0.013824,-0.000560,-0.000310
0.014131,-0.000240,-0.000365
0.014438,0.000115,-0.000370
0.014746,0.000450,-0.000320
0.015053,0.000735,-0.000220
0.015360,0.000925,-0.000090
0.015667,0.001005,0.000065
0.015974,0.000960,0.000200
0.016282,0.000795,0.000320
0.016589,0.000530,0.000415
0.016896,0.000205,0.000465
0.017203,-0.000150,0.000460
0.017510,-0.000480,0.000395
0.017818,-0.000755,0.000295
0.018125,-0.000935,0.000160
0.018432,-0.000995,0.000015
0.018739,-0.000935,-0.000130
0.019046,-0.000755,-0.000255
0.019354,-0.000480,-0.000345
0.019661,-0.000150,-0.000375
0.019968,0.000205,-0.000375
0.020275,0.000530,-0.000315
0.020582,0.000795,-0.000210
0.020890,0.000955,-0.000075
0.021197,0.001005,0.000065
0.021504,0.000925,0.000205
0.021811,0.000735,0.000325
0.022118,0.000450,0.000405
0.022426,0.000115,0.000440
0.022733,-0.000235,0.000425
0.023040,-0.000560,0.000355
0.023347,-0.000810,0.000250
0.023654,-0.000960,0.000100
0.023962,-0.000990,-0.000035
0.024269,-0.000900,-0.000180
0.024576,-0.000695,-0.000300
0.024883,-0.000400,-0.000370
0.025190,-0.000060,-0.000400
0.025498,0.000290,-0.000375
0.025805,0.000605,-0.000310
0.026112,0.000845,-0.000190
0.026419,0.000980,-0.000040
0.026726,0.000995,0.000100
0.027034,0.000890,0.000240
0.027341,0.000670,0.000350
0.027648,0.000370,0.000420
0.027955,0.000025,0.000445
0.028262,-0.000325,0.000410
0.028570,-0.000630,0.000325
0.028877,-0.000860,0.000210
0.029184,-0.000980,0.000065
0.029491,-0.000980,-0.000085
0.029798,-0.000855,-0.000220
0.030106,-0.000625,-0.000325
0.030413,-0.000315,-0.000395
0.030720,0.000030,-0.000420
0.031027,0.000375,-0.000380
0.031334,0.000675,-0.000295
0.031642,0.000890,-0.000175
0.031949,0.000995,-0.000025
0.032256,0.000980,0.000120
0.032563,0.000840,0.000255
0.032870,0.000600,0.000355
0.033178,0.000285,0.000410
0.033485,-0.000065,0.000420
0.033792,-0.000410,0.000375
0.034099,-0.000700,0.000285
0.034406,-0.000900,0.000160
0.034714,-0.000990,0.000010
0.035021,-0.000960,-0.000140
0.035328,-0.000805,-0.000270
0.035635,-0.000550,-0.000370
0.035942,-0.000230,-0.000425
0.036250,0.000120,-0.000430
0.036557,0.000460,-0.000370
0.036864,0.000740,-0.000265
0.037171,0.000930,-0.000135
0.037478,0.001005,0.000015
0.037786,0.000955,0.000160
0.038093,0.000790,0.000290
