Period (s),CommandedPosition (mm),ActualPosition (mm)
0.000000,0.000835,-0.000355
0.000256,0.000980,-0.000200
0.000512,0.000995,-0.000020
0.000768,0.000865,0.000165
0.001024,0.000620,0.000340
0.001280,0.000285,0.000470
0.001536,-0.000085,0.000535
0.001792,-0.000445,0.000545
0.002048,-0.000740,0.000475
0.002304,-0.000935,0.000340
0.002560,-0.000995,0.000165
0.002816,-0.000915,-0.000025
0.003072,-0.000705,-0.000215
0.003328,-0.000400,-0.000360
0.003584,-0.000035,-0.000440
0.003840,0.000335,-0.000475
0.004096,0.000660,-0.000435
0.004352,0.000890,-0.000315
0.004608,0.001000,-0.000165
0.004864,0.000970,0.000035
0.005120,0.000805,0.000215
0.005376,0.000525,0.000375
0.005632,0.000175,0.000480
0.005888,-0.000195,0.000520
0.006144,-0.000545,0.000510
0.006400,-0.000810,0.000420
0.006656,-0.000965,0.000270
0.006912,-0.000985,0.000080
0.007168,-0.000865,-0.000110
0.007424,-0.000625,-0.000275
0.007680,-0.000295,-0.000410
0.007936,0.000075,-0.000485
0.008192,0.000435,-0.000490
0.008448,0.000740,-0.000420
0.008704,0.000935,-0.000290
0.008960,0.001005,-0.000125
0.009216,0.000935,0.000080
0.009472,0.000730,0.000255
0.009728,0.000430,0.000405
0.009984,0.000065,0.000495
0.010240,-0.000305,0.000520
0.010496,-0.000630,0.000485
0.010752,-0.000870,0.000380
0.011008,-0.000985,0.000225
0.011264,-0.000965,0.000030
0.011520,-0.000805,-0.000160
0.011776,-0.000535,-0.000330
0.012032,-0.000185,-0.000440
0.012288,0.000185,-0.000495
0.012544,0.000535,-0.000480
0.012800,0.000810,-0.000400
0.013056,0.000970,-0.000255
0.013312,0.001000,-0.000080
0.013568,0.000885,0.000115
0.013824,0.000650,0.000285
0.014080,0.000325,0.000425
0.014336,-0.000045,0.000495
0.014592,-0.000410,0.000510
0.014848,-0.000715,0.000445
0.015104,-0.000920,0.000325
0.015360,-0.000995,0.000140
0.015616,-0.000930,-0.000055
0.015872,-0.000735,-0.000235
0.016128,-0.000435,-0.000380
0.016384,-0.000075,-0.000480
0.016640,0.000295,-0.000515
0.016896,0.000625,-0.000480
0.017152,0.000870,-0.000370
0.017408,0.000995,-0.000220
0.017664,0.000980,-0.000030
0.017920,0.000830,0.000170
0.018176,0.000560,0.000335
0.018432,0.000220,0.000455
0.018688,-0.000155,0.000505
0.018944,-0.000505,0.000495
0.019200,-0.000785,0.000410
0.019456,-0.000955,0.000270
0.019712,-0.000990,0.000085
0.019968,-0.000885,-0.000115
0.020224,-0.000655,-0.000285
0.020480,-0.000335,-0.000425
0.020736,0.000035,-0.000495
0.020992,0.000400,-0.000510
0.021248,0.000710,-0.000455
0.021504,0.000920,-0.000330
0.021760,0.001005,-0.000165
0.022016,0.000950,0.000030
0.022272,0.000760,0.000220
0.022528,0.000465,0.000375
0.022784,0.000110,0.000475
0.023040,-0.000265,0.000505
0.023296,-0.000600,0.000485
0.023552,-0.000850,0.000385
0.023808,-0.000980,0.000235
0.024064,-0.000975,0.000045
0.024320,-0.000830,-0.000150
0.024576,-0.000570,-0.000315
0.024832,-0.000230,-0.000425
0.025088,0.000145,-0.000490
0.025344,0.000500,-0.000485
0.025600,0.000785,-0.000405
0.025856,0.000960,-0.000260
0.026112,0.001000,-0.000085
0.026368,0.000905,0.000110
0.026624,0.000680,0.000285
0.026880,0.000365,0.000425
0.027136,-0.000005,0.000510
0.027392,-0.000370,0.000530
0.027648,-0.000685,0.000480
0.027904,-0.000900,0.000365
0.028160,-0.000995,0.000200
0.028416,-0.000945,0.000005
0.028672,-0.000765,-0.000180
0.028928,-0.000475,-0.000335
0.029184,-0.000120,-0.000435
0.029440,0.000255,-0.000475
0.029696,0.000595,-0.000455
